Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
125,5/3/2023 5:00,1.25,33.825,65.0
126,5/3/2023 6:00,1.75,35.225,60.75
127,5/3/2023 7:00,2.5,32.55,69.5
128,5/3/2023 8:00,1.25,30.325,76.5
129,5/3/2023 9:00,1.25,30.85,76.25
130,5/3/2023 10:00,1.5,31.975,73.5
131,5/3/2023 11:00,2.0,32.2,73.75
132,5/3/2023 12:00,2.75,31.3,75.0
133,5/3/2023 13:00,4.0,30.45,77.0
134,5/3/2023 14:00,3.0,29.85,80.0
135,5/3/2023 15:00,2.0,29.4,81.5
136,5/3/2023 16:00,1.75,29.075,80.75
137,5/3/2023 17:00,1.5,28.825,81.0
138,5/3/2023 18:00,1.75,28.6,80.0
139,5/3/2023 19:00,1.5,28.35,80.0
140,5/3/2023 20:00,1.75,28.075,81.0
141,5/3/2023 21:00,2.0,27.8,81.0
142,5/3/2023 22:00,2.0,27.55,80.0
143,5/3/2023 23:00,3.0,27.35,80.0
144,5/4/2023 0:00,4.0,27.2,81.0
145,5/4/2023 1:00,5.0,28.125,79.25
146,5/4/2023 2:00,4.25,29.05,77.0
147,5/4/2023 3:00,3.0,31.0,73.25
148,5/4/2023 4:00,3.25,32.825,69.5
149,5/4/2023 5:00,3.25,34.225,66.5
150,5/4/2023 6:00,3.0,35.5,62.5
151,5/4/2023 7:00,3.25,37.125,59.25
152,5/4/2023 8:00,3.75,38.225,56.5
153,5/4/2023 9:00,,39.2,54.75
154,5/4/2023 10:00,3.333333333,36.83333333,56.33333333
155,5/4/2023 11:00,4.0,33.725,64.0
156,5/4/2023 12:00,4.75,31.125,72.25
157,5/4/2023 13:00,7.75,30.5,74.25
158,5/4/2023 14:00,5.5,29.8,75.75
159,5/4/2023 15:00,5.0,29.625,76.5
160,5/4/2023 16:00,5.75,29.525,77.0
161,5/4/2023 17:00,5.75,29.35,78.25
162,5/4/2023 18:00,4.5,28.95,79.0
163,5/4/2023 19:00,4.25,28.825,79.25
164,5/4/2023 20:00,4.75,28.625,80.0
165,5/4/2023 21:00,5.25,28.825,80.0
166,5/4/2023 22:00,4.75,27.95,80.25
167,5/4/2023 23:00,2.75,27.175,81.0
168,5/5/2023 0:00,3.75,26.725,80.5
169,5/5/2023 1:00,7.25,26.8,80.5
170,5/5/2023 2:00,6.75,26.95,80.0
171,5/5/2023 3:00,4.25,27.075,79.0
172,5/5/2023 4:00,4.5,27.25,79.75
173,5/5/2023 5:00,5.5,28.125,78.75
174,5/5/2023 6:00,,29.85,76.0
175,5/5/2023 7:00,6.25,30.125,76.25
176,5/5/2023 8:00,6.25,30.475,77.25
177,5/5/2023 9:00,6.0,30.83333333,76.0
178,5/5/2023 10:00,6.0,31.4,74.25
179,5/5/2023 11:00,6.75,31.225,74.5
180,5/5/2023 12:00,7.0,30.85,76.75
181,5/5/2023 13:00,7.0,30.225,78.75
182,5/5/2023 14:00,6.75,30.075,79.0
183,5/5/2023 15:00,20.5,29.975,79.5
184,5/5/2023 16:00,20.25,29.85,80.0
185,5/5/2023 17:00,9.25,29.825,79.5
186,5/5/2023 18:00,8.25,29.6,79.25
187,5/5/2023 19:00,8.25,29.125,80.5
188,5/5/2023 20:00,6.25,28.65,81.0
189,5/5/2023 21:00,6.0,28.575,81.0
190,5/5/2023 22:00,6.0,28.275,81.0
191,5/5/2023 23:00,8.75,28.15,81.0
192,5/6/2023 0:00,8.0,28.25,81.0
193,5/6/2023 1:00,7.75,29.225,79.5
194,5/6/2023 2:00,7.0,30.75,76.5
195,5/6/2023 3:00,7.0,32.55,72.5
196,5/6/2023 4:00,8.25,34.525,66.25
197,5/6/2023 5:00,9.0,36.325,59.5
198,5/6/2023 6:00,10.33333333,36.56666667,58.0
199,5/6/2023 7:00,7.75,27.45,80.25
200,5/6/2023 8:00,6.25,27.425,82.25
201,5/6/2023 9:00,6.25,28.725,78.75
202,5/6/2023 10:00,7.0,28.75,78.25
203,5/6/2023 11:00,6.75,28.475,78.25
204,5/6/2023 12:00,6.5,28.15,78.75
205,5/6/2023 13:00,9.5,28.3,79.0
206,5/6/2023 14:00,10.5,28.25,79.75
207,5/6/2023 15:00,7.25,28.35,81.25
208,5/6/2023 16:00,7.0,27.95,83.0
